"1","180001","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","390","Physics","Yes","Physics","A2","NULL"
"2","180002","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","375","Physics","No","Physics","A2","NULL"
"3","180003","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","375","Physics","No","Physics","A2","NULL"
"4","180004","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","425","Physics","No","Physics","A2","NULL"
"5","180005","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","425","Physics","No","Physics","A2","NULL"
"6","180006","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","375","Physics","No","Physics","A2","NULL"
"7","180007","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","325","Physics","No","Physics","A2","NULL"
"8","180008","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","425","Physics","No","Physics","A2","NULL"
"9","180009","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","375","Physics","No","Physics","A2","NULL"
"10","180010","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","325","Physics","No","Physics","A2","NULL"
"11","180011","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","375","Physics","No","Physics","A2","NULL"
"12","180012","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","375","Physics","No","Physics","A2","NULL"
"13","180013","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","375","Physics","No","Physics","A2","NULL"
"14","180014","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","375","Physics","No","Physics","A2","NULL"
"15","180015","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","375","Physics","No","Physics","A2","NULL"
"16","180016","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","375","Physics","No","Physics","A2","NULL"
"17","180017","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","375","Physics","No","Physics","A2","NULL"
"18","180018","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","390","Physics","No","Physics","A2","NULL"
"19","180019","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","2","375","Physics","No","Physics","A2","NULL"
"20","180020","Engineering Physics  1","P.K.Palanisamy   ","1","1","Scitech Publications","3","","Physics","Yes","Physics","A2","NULL"
"21","180021","Engineering Physics  1","P.K.Palanisamy   ","1","1","Scitech Publications","3","","Physics","No","Physics","A2","NULL"
"22","180022","Engineering Physics  2","P.K.Palanisamy   ","1","1","Scitech Publications","1","","Physics","Yes","Physics","A2","NULL"
"23","180023","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","1","275","Physics","Yes","Physics","A2","NULL"
"24","180024","Engineering Physics","P.K.Palanisamy   ","1","1","Scitech Publications","1","275","Physics","No","Physics","A2","NULL"
"25","180025","Engineering Physics 1","P.Mani   ","1","1","Dhanam Publications","12","430","Physics","Yes","Physics","A2","NULL"
"26","180026","Engineering Physics  1","P.Mani   ","1","1","Dhanam Publications","13","450","Physics","Yes","Physics","A2","NULL"
"27","180027","Engineering Physics  1","P.Mani   ","1","1","Dhanam Publications","8","330","Physics","Yes","Physics","A2","NULL"
"28","180028","Engineering Physics  1","P.Mani   ","1","1","Dhanam Publications","10","370","Physics","Yes","Physics","A2","NULL"
"29","180029","Engineering Physics  1","P.Mani   ","1","1","Dhanam Publications","8","330","Physics","No","Physics","A2","NULL"
"30","180030","Engineering Physics  2","P.Mani   ","1","1","Shri Dhanam PUblisher","10","450","Physics","Yes","Physics","A2","NULL"
"31","180031","Engineering Physics Question Bank","P.Mani   ","1","1","Dhanam Publications","3","","Physics","Yes","Physics","A2","NULL"
"32","180032","Engineering Physics  1","G.Senthilkumar   ","1","1","VRB Publishers","5","325","Physics","Yes","Physics","A2","NULL"
"33","180033","Engineering Physics  1","G.Senthilkumar   ","1","1","VRB Publishers","7","395","Physics","Yes","Physics","A2","NULL"
"34","180034","Engineering Physics  1","G.Senthilkumar   ","1","1","VRB Publishers","8","440","Physics","Yes","Physics","A2","NULL"
"35","180035","Engineering Physics  1","G.Senthilkumar   ","1","1","VRB Publishers","7","395","Physics","No","Physics","A2","NULL"
"36","180036","Engineering Physics  1","G.Senthilkumar   ","1","1","VRB Publishers","5","325","Physics","No","Physics","A2","NULL"
"37","180037","Engineering Physics  2","G.Senthilkumar   ","1","1","VRB Publishers","1","80","Physics","Yes","Physics","A2","NULL"
"38","180038","Engineering Physics  1","K.Tamilarasan K.Prabu  ","1","1","Tata McGraw Hill Education","2","","Physics","Yes","Physics","A2","NULL"
"39","180039","Engineering Physics  2","K.Tamilarasan K.Prabu  ","1","1","Tata McGraw Hill Education","2","","Physics","Yes","Physics","A2","NULL"
"40","180040","Engineering Physics  2","M.Nidhya T.Vigneswari  ","1","1","Jaitech Publications","2","250","Physics","Yes","Physics","A2","NULL"
"41","180041","Engineering Physics  2","M.Nidhya T.Vigneswari  ","1","1","Jaitech Publications","3","298","Physics","Yes","Physics","A2","NULL"
"42","180042","Engineering Physics","V.Rajendran   ","1","1","Tata McGraw Hill Education","2","","Physics","Yes","Physics","A2","NULL"
"43","180043","Engineering Physics  1","K.L.Palanisamy   ","1","1","Sai Publications","1","280","Physics","Yes","Physics","A2","NULL"
"44","180044","Concept of Physics  1","H.C.Verma   ","1","1","Bharati Bhawan Publishers","3","160","Physics","Yes","Physics","A2","NULL"
"45","180045","Engineering Physics","R.K.Gaur S.L.Gupta  ","1","1","Dhanpat Rai Publications","10","650","Physics","Yes","Physics","A3","NULL"
"46","180046","Engineering Physics","R.K.Gaur S.L.Gupta  ","1","1","Dhanpat Rai Publications","10","650","Physics","No","Physics","A3","NULL"
"47","180047","Engineering Physics","R.K.Gaur S.L.Gupta  ","1","1","Dhanpat Rai Publications","10","650","Physics","No","Physics","A3","NULL"
"48","180048","Engineering Physics","R.K.Gaur S.L.Gupta  ","1","1","Dhanpat Rai Publications","10","650","Physics","No","Physics","A3","NULL"
"49","180049","Engineering Physics","R.K.Gaur S.L.Gupta  ","1","1","Dhanpat Rai Publications","10","650","Physics","No","Physics","A3","NULL"
